Lemma,poscode,surface
"H.b. Fuller",3,
"Penn Mutual Life Insurance",3,
"Rcs Capital",3,
"Columbia Sportswear",3,
"Amica Mutual Insurance",3,
"Primoris Services",3,
"Energen",3,
"Rexnord",3,
"Seventy Seven Energy",3,
"Waste Connections",3,
"Pep Boys-manny, Moe & Jack",3,
"Harsco",3,
"Hovnanian Enterprises",3,
"Willbros Group",3,
"Wendy's",3,
"International Game Technology",3,
"Synopsys",3,
"Universal American",3,
"Aar",3,
"Selective Insurance Group",3,
"Gartner",3,
"E*trade Financial",3,
"Advanced-dh",3,
"Alpargatas",3,
"Amazon",3,
"Ambev Sa",3,
"Arezzo",3,
"Avon",3,
"B2w Digital",3,
"Bahema",3,
"Brf Sa",3,
"Cambuci",3,
"Cedro",3,
"Cia Hering",3,
"Coteminas",3,
"Dohler",3,
"Dufry Ag",3,
"Excelsior",3,
"Grazziotin",3,
"Grendene",3,
"Guararapes",3,
"Hypermarcas",3,
"Imc Holdings",3,
"Ind Cataguases",3,
"Jb Duarte",3,
"Jbs Friboi",3,
"Josapar",3,
"Karsten",3,
"Lojas Americanas",3,
"Lojas Hering",3,
"Lojas Renner",3,
"Magazine Luiza",3,
"Marfrig",3,
"Marisa",3,
"Mdiasbranco",3,
"Minerva",3,
"Minupar",3,
"Natura",3,
"Oderich",3,
"Pão De açúcar",3,
"Pettenati",3,
"Restoque",3,
"Santanense",3,
"São Martinho",3,
"Saraiva Livr",3,
"Ser Educa",3,
"Springs Global",3,
"T4f Entretenimento",3,
"Teka",3,
"Textil Renaux",3,
"Viavarejo",3,
"Vulcabras",3,
"Aes Elpa",3,
"Aes Tiete",3,
"Afluente",3,
"Afluente T",3,
"Alupar Investimento",3,
"Ampla Energia",3,
"Casan",3,
"Ceb",3,
"Ceee-d",3,
"Ceee-gt",3,
"Celesc",3,
"Celgpar",3,
"Celpa",3,
"Celpe",3,
"Cemar",3,
"Cemig",3,
"Cesp",3,
"Coelba",3,
"Coelce",3,
"Copasa",3,
"Copel",3,
"Cosern",3,
"Cpfl Energia",3,
"Cpfl Renovav",3,
"Elektro",3,
"Eletrobras",3,
"Eletron",3,
"Eletropar",3,
"Eletropaulo",3,
"Emae",3,
"Energias Br",3,
"Energisa",3,
"Eneva",3,
"Engie",3,
"Equatorial Energia",3,
"Ger Paranapanema",3,
"Light",3,
"Proman",3,
"Rede Energia",3,
"Renova",3,
"Sabesp",3,
"Sanepar",3,
"Taesa",3,
"Trans Paulista",3,
"Agpart",3,
"Alfa Consorcio",3,
"Alfa Financeira",3,
"Alfa Holding",3,
"Alfa Investimentos",3,
"Amazonia",3,
"American Exp",3,
"B3",3,
"Banco Abc Brasil",3,
"Banco Do Brasil",3,
"Banco Indusval",3,
"Banco Pan",3,
"Banco Patagonia",3,
"Banco Pine",3,
"Banese",3,
"Banestes",3,
"Banpara",3,
"Banrisul",3,
"Br Insurance",3,
"Bradesco",3,
"Brb Banco",3,
"Btgp Banco",3,
"Cielo",3,
"Csu Cardsyst",3,
"Goldman Sachs",3,
"Itaú Unibanco",3,
"Merc Brasil",3,
"Merc Financ",3,
"Merc Invest",3,
"Nord Brasil",3,
"Paraná Banco",3,
"Santander Br",3,
"Seg Aliança Bahia",3,
"Sul América",3,
"Tarpon Investment",3,
"524 Particip",3,
"Agconcessoes",3,
"Atompar",3,
"Battistella",3,
"Betapart",3,
"Bradespar",3,
"Brazilian Fr",3,
"Cabinda Part",3,
"Caconde Part",3,
"Caianda Part",3,
"Capitalpart",3,
"Cemepe",3,
"Cims",3,
"Cor Ribeiro",3,
"Encorpar",3,
"Gama Part",3,
"Gp Invest",3,
"Gpc Part",3,
"Gruçai",3,
"Invepar",3,
"Itaitinga",3,
"Itaúsa",3,
"Jereissati",3,
"La Fonte Tel",3,
"Litel",3,
"Mont Aranha",3,
"Neoenergia",3,
"Newtel Part",3,
"Par Al Bahia",3,
"Polpar",3,
"Ret Part",3,
"Sauipe",3,
"Selectpart",3,
"Sudeste S/a",3,
"Sul 116 Part",3,
"Suzano Holding",3,
"Triunfo Part",3,
"Uptick",3,
"Aliansce",3,
"Br Malls",3,
"Br Properties",3,
"Brasil Brokers",3,
"Const a Lind",3,
"Cr2 Empreendimentos",3,
"Cyre Com-ccp",3,
"Cyrela",3,
"Direcional",3,
"Duratex",3,
"Even",3,
"Ez Tec",3,
"Gafisa",3,
"General Shopping",3,
"Helbor",3,
"Iguatemi",3,
"Jhsf",3,
"Lps Brasil",3,
"Mendes Jr",3,
"Mills",3,
"Mrv Engenharia",3,
"Multiplan",3,
"Pdg Realty",3,
"Rodobens",3,
"Rossi Resid",3,
"Sonae Sierra Brasil",3,
"Tecnisa",3,
