name	continent	iso_country	iso_region	municipality	iata_code
Springdale Municipal Airport	NA	US	US-AR	Springdale	SPZ
Boire Field	NA	US	US-NH	Nashua	ASH
Harrison County Airport	NA	US	US-TX	Marshall	ASL
Talladega Municipal Airport	NA	US	US-AL	Talladega	ASN
Astoria Regional Airport	NA	US	US-OR	Astoria	AST
John F Kennedy Memorial Airport	NA	US	US-WI	Ashland	ASX
Ashley Municipal Airport	NA	US	US-ND	Ashley	ASY
Hartsfield Jackson Atlanta International Airport	NA	US	US-GA	Atlanta	ATL
Artesia Municipal Airport	NA	US	US-NM	Artesia	ATS
Outagamie County Regional Airport	NA	US	US-WI	Appleton	ATW
Watertown Regional Airport	NA	US	US-SD	Watertown	ATY
Augusta State Airport	NA	US	US-ME	Augusta	AUG
Austin Municipal Airport	NA	US	US-MN	Austin	AUM
Auburn Municipal Airport	NA	US	US-CA	Auburn	AUN
Auburn Opelika Robert G. Pitts Airport	NA	US	US-AL	Auburn	AUO
Austin Bergstrom International Airport	NA	US	US-TX	Austin	AUS
Wausau Downtown Airport	NA	US	US-WI	Wausau	AUW
Asheville Regional Airport	NA	US	US-NC	Asheville	AVL
Avon Park Executive Airport	NA	US	US-FL	Avon Park	AVO
Wilkes Barre Scranton International Airport	NA	US	US-PA	Wilkes-Barre/Scranton	AVP
Marana Regional Airport	NA	US	US-AZ	Tucson	AVW
Catalina Airport	NA	US	US-CA	Avalon	CIB
West Memphis Municipal Airport	NA	US	US-AR	West Memphis	AWM
Algona Municipal Airport	NA	US	US-IA	Algona	AXG
Chandler Field	NA	US	US-MN	Alexandria	AXN
Altus Quartz Mountain Regional Airport	NA	US	US-OK	Altus	AXS
Neil Armstrong Airport	NA	US	US-OH	Wapakoneta	AXV
Angel Fire Airport	NA	US	US-NM	Angel Fire	AXX
Waycross Ware County Airport	NA	US	US-GA	Waycross	AYS
Kalamazoo Battle Creek International Airport	NA	US	US-MI	Kalamazoo	AZO
Beale Air Force Base	NA	US	US-CA	Marysville	BAB
